ticker,year,quarter,is_annual,revenue,cogs,net_profit,ar_end,inv_end,ap_end,total_assets_end,total_equity_end,NPM,ROA,ROE,DSO,DIO,DPO,CCC,rev_low,balance_ok,source
SHR,2565,Q3,False,2466.344,1528.194,207.484,464.506,214.535,1535.406,38433.024,17083.078,0.0841,0.0055,0.0125,16.8638,12.6522,97.0206,-67.5047,,True,Q3_FS.xlsx
SHR,2565,Q4,False,2563.8734,1593.3079,107.8633,501.3555,228.5058,1710.6341,36449.5989,16019.1693,0.0421,0.0029,0.0065,17.3291,12.7909,93.7156,-63.5956,,,
SHR,2566,Q1,False,2576.759,1604.888,124.881,437.075,222.848,1726.671,36139.858,15973.516,0.0485,0.0034,0.0078,16.3886,12.6557,96.3798,-67.3355,,True,Q1_FS.xlsx
SHR,2566,Q2,False,2318.612,1598.95,3.004,443.983,233.082,1764.509,38010.378,16580.939,0.0013,0.0001,0.0002,17.2897,12.974,99.3456,-69.0819,,True,Q2_FS.xlsx
SHR,2566,Q3,False,2495.846,1548.071,15.01,386.003,230.417,1719.383,38311.374,16834.999,0.006,0.0004,0.0009,15.2972,13.7726,103.5218,-74.452,,True,Q3_FS.xlsx
SHR,2566,Q4,False,2705.5375,1574.5075,-56.4881,534.5558,230.9514,1666.9483,37722.7035,16091.0474,-0.0209,-0.0015,-0.0034,15.6515,13.4791,98.9333,-69.8027,,,
SHR,2567,Q1,False,2781.537,1633.455,111.624,480.556,219.271,1545.236,39325.93,17091.248,0.0401,0.0029,0.0067,16.4226,12.4032,88.4924,-59.6666,,True,Q1_FS.xls
SHR,2567,Q2,False,2527.774,1657.384,-71.592,343.433,220.927,1017.739,38844.783,17119.998,-0.0283,-0.0018,-0.0042,14.8318,12.0847,70.3611,-43.4446,,True,Q2_FS.xls
SHR,2567,Q3,False,2538.71,1565.109,-53.396,316.165,199.997,934.721,35396.49,15365.781,-0.021,-0.0014,-0.0033,11.9515,12.3713,57.3846,-33.0617,,True,Q3_FS.xls
SHR,2567,Q4,False,2710.2248,1594.265,147.298,475.753,232.259,975.1275,36325.3586,15925.8378,0.0543,0.0041,0.0094,13.441,12.4721,55.1057,-29.1926,,,
